dataset,method,feature_family,programs_using_family,n_programs,proportion_programs
FEI,eoh,colour,0,10,0.0
FEI,eoh,frequency_transform,4,10,0.4
FEI,eoh,gradient_edge,10,10,1.0
FEI,eoh,intensity_statistics,10,10,1.0
FEI,eoh,local_texture_structure,9,10,0.9
FEI,eoh,spatial_region_symmetry,10,10,1.0
FEI,gp_modified,gradient_edge,9,10,0.9
FEI,gp_modified,intensity_statistics,10,10,1.0
FEI,gp_modified,smoothing_filtering,6,10,0.6
FEI,gp_modified,spatial_region,9,10,0.9
FEI,gp_modified,texture_local_descriptor,8,10,0.8
FEI,gp_original,gradient_edge,10,10,1.0
FEI,gp_original,intensity_statistics,8,10,0.8
FEI,gp_original,smoothing_filtering,4,10,0.4
FEI,gp_original,spatial_region,7,10,0.7
FEI,gp_original,texture_local_descriptor,8,10,0.8
KSDD2,eoh,colour,1,10,0.1
KSDD2,eoh,frequency_transform,2,10,0.2
KSDD2,eoh,gradient_edge,10,10,1.0
KSDD2,eoh,intensity_statistics,10,10,1.0
KSDD2,eoh,local_texture_structure,7,10,0.7
KSDD2,eoh,spatial_region_symmetry,10,10,1.0
KSDD2,gp_modified,gradient_edge,8,10,0.8
KSDD2,gp_modified,intensity_statistics,10,10,1.0
KSDD2,gp_modified,smoothing_filtering,4,10,0.4
KSDD2,gp_modified,spatial_region,7,10,0.7
KSDD2,gp_modified,texture_local_descriptor,5,10,0.5
KSDD2,gp_original,gradient_edge,6,10,0.6
KSDD2,gp_original,intensity_statistics,9,10,0.9
KSDD2,gp_original,smoothing_filtering,4,10,0.4
KSDD2,gp_original,spatial_region,6,10,0.6
KSDD2,gp_original,texture_local_descriptor,7,10,0.7
MVTEC,eoh,colour,0,10,0.0
MVTEC,eoh,frequency_transform,2,10,0.2
MVTEC,eoh,gradient_edge,10,10,1.0
MVTEC,eoh,intensity_statistics,10,10,1.0
MVTEC,eoh,local_texture_structure,1,10,0.1
MVTEC,eoh,spatial_region_symmetry,10,10,1.0
MVTEC,gp_modified,gradient_edge,9,10,0.9
MVTEC,gp_modified,intensity_statistics,10,10,1.0
MVTEC,gp_modified,smoothing_filtering,6,10,0.6
MVTEC,gp_modified,spatial_region,8,10,0.8
MVTEC,gp_modified,texture_local_descriptor,6,10,0.6
MVTEC,gp_original,gradient_edge,9,10,0.9
MVTEC,gp_original,intensity_statistics,10,10,1.0
MVTEC,gp_original,smoothing_filtering,6,10,0.6
MVTEC,gp_original,spatial_region,8,10,0.8
MVTEC,gp_original,texture_local_descriptor,5,10,0.5
STL10,eoh,colour,10,10,1.0
STL10,eoh,frequency_transform,0,10,0.0
STL10,eoh,gradient_edge,10,10,1.0
STL10,eoh,intensity_statistics,10,10,1.0
STL10,eoh,local_texture_structure,2,10,0.2
STL10,eoh,spatial_region_symmetry,10,10,1.0
STL10,gp_modified,gradient_edge,7,10,0.7
STL10,gp_modified,intensity_statistics,8,10,0.8
STL10,gp_modified,smoothing_filtering,4,10,0.4
STL10,gp_modified,spatial_region,7,10,0.7
STL10,gp_modified,texture_local_descriptor,10,10,1.0
STL10,gp_original,gradient_edge,8,10,0.8
STL10,gp_original,intensity_statistics,7,10,0.7
STL10,gp_original,smoothing_filtering,0,10,0.0
STL10,gp_original,spatial_region,6,10,0.6
STL10,gp_original,texture_local_descriptor,10,10,1.0
